Company,ZIP,City,Country,State,Sales,County,latitude,longitude,Year
Diesel Equipment Company,27406,Greensboro,USA,NC,4197,Guilford,35.9982,-79.76686,2023
Roppel Industries,46225,Indianapolis,USA,IN,0,Marion,39.74062,-86.16294,2023
D & W Diesel Inc,13206,Syracuse,USA,NY,0,Onondaga,43.07354,-76.10584,2023
TRP Chicago,60609,Chicago,USA,IL,0,Cook,41.81263,-87.65559,2023
Stewart & Stevenson FDDA LLC,33916,Ft. Myers,USA,FL,0,Lee,26.63998,-81.84104,2023
Allegiance Trucks,03103,Manchester,USA,NH,12262,Hillsborough,42.95536,-71.44463,2023
Allegiance Trucks,03825,Barrington,USA,NH,1553,Strafford,43.21366,-71.04227,2023
"Peterbilt of Atlanta, LLC",30144,Kennesaw,USA,GA,3498,Cobb,34.03672,-84.59174,2023
"Peterbilt of Atlanta, LLC",30507,Gainesville,USA,GA,0,Hall,34.26082,-83.76622,2023
TRP of Atlanta,30233,Conley,USA,GA,0,Clayton,33.29492,-83.97501,2023
Kenworth of Columbus,43026,Hilliard,USA,OH,0,Franklin,40.02197,-83.18472,2023
Kenworth of Ashland,44805,Ashland,USA,OH,0,Ashland,40.87335,-82.32096,2023
Summit Truck Group,79404,Lubbock,USA,TX,0,Lubbock,33.52651,-101.79856,2023
JX Truck Center - Green Bay,54115,De Pere,USA,WI,0,Brown,44.40552,-88.09195,2023
Nelson International - Fargo,58103,Fargo,USA,ND,0,Cass,46.85639,-96.82234,2023
CIT Trucks - Corporate,61761,Normal,USA,IL,0,McLean,40.52503,-88.95152,2023
JX Truck Center - Madison,53532,DeForest,USA,WI,24638,Dane,43.24881,-89.32547,2023
"CLF Warehouse, Inc.",90605,Whittier,USA,CA,7254,Los Angeles,33.95209,-118.02085,2023
"CLF Warehouse, Inc. (03)",98032,Kent,USA,WA,0,King,47.3922,-122.25819,2023
"Truck Equipment, Inc.",54307,Green Bay,USA,WI,0,Brown,44.47049,-88.0366,2023
"Truck Equipment, Inc.",54304,Green Bay,USA,WI,253,Brown,44.49419,-88.06758,2023
"CLF Warehouse, Inc.",85009,PHOENIX,USA,AZ,-17,Maricopa,33.44457,-112.12661,2023
American Radiator,50313,Des Moines,USA,IA,189896,Polk,41.65538,-93.62287,2023
TLG Peterbilt - Charlotte,28269,Charlotte,USA,NC,5291,Mecklenburg,35.33747,-80.8026,2023
JX Truck Center - Lansing,60438,Lansing,USA,IL,15367,Cook,41.56625,-87.55065,2023
"Affton Radiator & A/C Service, Inc.",63026,Fenton,USA,MO,0,St. Louis,38.50195,-90.45995,2023
Summit Truck Group,79109,Amarillo,USA,TX,0,Potter,35.1665,-101.88633,2023
"Landmark Trucks, LLC",37914,Knoxville,USA,TN,0,Knox,35.97988,-83.79937,2023
DPF Cleaning Specialists,76209,Denton,USA,TX,0,Denton,33.2315,-97.11,2023
